,Name,Country,Years active,Proven victims,Possible victims,Notes
0,Harold Shipman,United Kingdom,1975–1998,218,250[360],"Convicted of 15 murders and responsible for the deaths of 218 patients identified by inquiry, but is believed to have killed around 250 people.[361][362] He injected diamorphine into his patients and then falsified the medical records, reporting that his patient had been in poor health. Hanged himself in prison."
1,Niels Högel,Germany,1999–2005,85+,300[363],"Nurse who was sentenced to life imprisonment for the murder of more than 85 people.[364][365] In November 2017, German prosecutors said that the number of victims was at least 106,[366] with Högel admitting, in October 2018, to murdering 100 patients.[13] By May 2019, he was believed to be the most prolific serial killer in peacetime Germany with up to 300 victims over fifteen years.[363]"
2,Baba Anujka,Kingdom of Yugoslavia,c.1890s–1928,50,150,"Anujka was an accomplished amateur chemist from the village of Vladimirovac, Yugoslavia (modern day Serbia). She poisoned at least 50 people and possibly as many as 150 in the late 19th and early 20th centuries. Was sentenced to 15 years in prison in 1929 but released after eight years due to old age.[367]"
3,Louay Omar Mohammed al-Taei,Iraq,2005–2006,43,,"Medical doctor found to have killed 43 wounded policemen, soldiers and officials in Kirkuk; was a member of an insurgent cell.[368]"
4,Donald Harvey,United States,1970–1987,37,57–87,Self-professed Angel of Death. Worked as an orderly in Cincinnati-area hospitals and preyed on his patients. Claimed to have killed 87 patients starting at age 18. Active 1970–1987. Sentenced to 28 life sentences in Ohio.[369]
5,Jane Toppan,United States,1885–1901,31,,Nurse that confessed to poisoning 31 patients. Found not guilty by reason of insanity and interned in a mental institution until her death in 1938.[370]
6,Charles Cullen,United States,1988–2003,29,400+,"Nurse in New Jersey and Pennsylvania who murdered at least 29 patients between 1988 and 2003, but experts believe the number could be as high as 400. Cullen has admitted to more murders, which authorities believe are likely, but the murders cannot be verified due to lack of records.[371]"
7,Stephan Letter,Germany,2003–2004,29,29+,Nurse who killed 29 patients; sentenced to life imprisonment in 2006.[372]
8,Anders Hansson,Sweden,1978–1979,27,,"A Nurse Aide who poisoned victims with gevisol and ivisol. His actions were called ""The Hospital Murders"" (Swedish: Sjukhusmorden).[373]"
9,Marcel Petiot,France,1926–1944,26,63,Active 1926 and from 1942 to 1944. Petiot is suspected of having killed up to 63 in total. Executed in 1946.[374]
10,Arnfinn Nesset,Norway,1983 and earlier,22,27–138+,"Norwegian nurse and most prolific known serial killer in Scandinavian history, convicted in 1983 of poisoning at least 22 patients with Curacit; however he initially confessed to 27 murders; later he retracted his confessions and claimed he had killed 138 patients. Was released from prison in 2004 after serving 21 years, the maximum punishment possible by Norwegian law.[375]"
11,Roger Andermatt,Switzerland,1995–2001,22,22,"Known as the ""Death-Keeper of Lucerne""; nurse who killed 22 patients; most prolific Swiss serial killer in history; sentenced to life imprisonment.[376]"
12,Maxim Petrov,Russia,2000–2002,12,19,Doctor who killed his patients in St. Petersburg. Suspected of 19 murders.[377]
13,Ann Arbor Hospital Killer,United States,1975,10,10,Poisonings of 10 patients at the Veteran's Administration Hospital in 1975. Filipino nurses Filipina Narciso and Leonora Perez were tried for the crimes.[378]
14,Ludivine Chambet,France,2012–2013,10,10,"Known as ""The Poisoner of Chambéry""; nurse's aide who poisoned elderly patients; sentenced to 25 years imprisonment.[379]"
15,Petr Zelenka,Czech Republic,2006,7,21[380],Killed his victims with a lethal injection of heparin from May to September 2006. Ten people survived his murder attempt. Suspected of up to 14 additional murders.
16,Orville Lynn Majors,United States,1993–1995,6,130,"LPN in Vermillion County Ind., Preyed on elderly patients—thought to have killed many of them with injections of potassium chloride. Sentenced to 360 years in Indiana.[381]"
17,Efren Saldivar,United States,1989–1997,6,50+,"Respiratory therapist who killed six patients, possibly as many as 120.[382]"
18,Christine Malèvre,France,1998 and earlier,6,30,"Nurse who killed terminally ill patients claiming that they had asked her to help them die, something denied by their families. Sentenced to 12 years in prison for six murders and suspect of 30.[383]"
19,Antoinette Scieri,France,1924–1925,6,12+,Nurse who poisoned her elderly patients. Death sentence was commuted to life in prison and she died in prison.[384]
20,Ahmad Ahmadi,Imperial State of Iran,1931–1944,6,,Responsible for killing political prisoners at Qasr prison during the reign of Reza Shah.
21,Frans Hooijmaijers,Netherlands,1970–1975,5,259,"Nurse who was convicted for killing five patients at a hospital in Kerkrade, the Netherlands from 1970 to 1975, but was suspected to have killed approximately 259 people."
22,Miyuki Ishikawa,Japan,1946–1948,5,84,"Killed 84 newborn children at maximum. As a midwife, she killed infants born to parents unwilling to care for them during the prohibition of abortion in Japan.[385] Arrested in 1948, and sentenced to four years imprisonment in 1953 as final decision.[386]"
